keyword,context1,context2,weight,phonetic,context1_translation,context2_translation,keyword_translation_1 / keyword_translation_2 / keyword_translation_3
allocate,We need to allocate resources where they are needed most,Allocating time effectively ensures timely project completion,6,ˈæləkɪt (allouer),Nous devons allouer les ressources là où elles sont le plus nécessaires,Allouer le temps efficacement assure l'achèvement du projet en temps voulu,allouer / répartir / distribuer
advance,We aim to advance our goals through strategic planning,Advancing technology helps in achieving business objectives,8,ədˈvɑːns (avancer),Nous visons à faire avancer nos objectifs par une planification stratégique,Avancer la technologie aide à atteindre les objectifs commerciaux,avancer / promouvoir / faire progresser
integrate,Integrating new solutions is crucial for progress,Effective integration enhances overall system performance,7,ˈɪntɪɡreɪt (intégrer),L'intégration de nouvelles solutions est cruciale pour le progrès,Une intégration efficace améliore les performances globales du système,intégrer / combiner / fusionner
sustain,We need to sustain our efforts to see long-term results,Sustaining progress requires continuous improvement and adaptation,8,səˈsteɪn (maintenir),Nous devons maintenir nos efforts pour voir des résultats à long terme,Maintenir les progrès nécessite une amélioration continue,maintenir / préserver / continuer
revise,We need to revise our strategy to meet the new objectives,Revising plans regularly helps in staying aligned with goals,7,rɪˈvaɪz (réviser),Nous devons réviser notre stratégie pour atteindre les nouveaux objectifs,Réviser les plans régulièrement aide à rester aligné avec les objectifs,réviser / revoir / ajuster
delegate,The manager should delegate tasks to ensure efficiency,Delegating responsibilities helps in better team management,8,ˈdɛlɪˌɡeɪt (déléguer),Le manager doit déléguer des tâches pour assurer l'efficacité,Déléguer des responsabilités aide à une meilleure gestion de l'équipe,déléguer / répartir / confier
amplify,We need to amplify our efforts to reach a larger audience,Amplifying the message ensures it resonates with the target group,7,ˈæmplɪˌfaɪ (amplifier),Nous devons amplifier nos efforts pour atteindre un public plus large,Amplifier le message garantit qu'il résonne avec le groupe cible,amplifier / intensifier / renforcer
centralize,Centralizing operations can lead to cost savings,We aim to centralize the decision-making process for efficiency,6,ˈsɛntrəˌlaɪz (centraliser),Centraliser les opérations peut entraîner des économies de coûts,Nous visons à centraliser le processus de décision pour plus d'efficacité,centraliser / regrouper / concentrer
eliminate,We must eliminate redundancies to streamline operations,Eliminating waste is essential for sustainable practices,7,ɪˈlɪmɪˌneɪt (éliminer),Nous devons éliminer les redondances pour rationaliser les opérations,Éliminer le gaspillage est essentiel pour des pratiques durables,éliminer / supprimer / réduire
negotiate,Negotiating effectively is key to securing good deals,We need to negotiate the terms of the contract carefully,7,nɪˈɡoʊʃiˌeɪt (négocier),Négocier efficacement est essentiel pour conclure de bonnes affaires,Nous devons négocier les termes du contrat avec soin,négocier / discuter / traiter
mediate,A mediator will help resolve the conflict,Effective mediation can prevent disputes from escalating,6,ˈmiːdiˌeɪt (médiation),Un médiateur aidera à résoudre le conflit,Une médiation efficace peut prévenir l'escalade des conflits,médiation / arbitrer / intervenir
consult with the developer,It is important to consult with the developer before making changes,Consulting with the developer ensures the changes align with the project goals,14,kənˈsʌlt wɪð ðə dɪˈvɛləpər (consulter le développeur),Il est important de consulter le développeur avant de faire des changements,Consulter le développeur garantit que les changements sont alignés avec les objectifs du projet,consulter le développeur / demander l'avis du développeur / s'entretenir avec le développeur
tell a story,We need to tell a story that resonates with our audience,Telling a compelling story can make our message more impactful,14,tɛl ə ˈstɔːri (raconter une histoire),Nous devons raconter une histoire qui résonne avec notre audience,Raconter une histoire captivante peut rendre notre message plus percutant,raconter une histoire / narrer / faire le récit
extent of work,The extent of work required is larger than initially expected,Understanding the extent of work is key to accurate planning,14,ɪkˈstɛnt ʌv wɜːrk (étendue du travail),L'étendue du travail nécessaire est plus grande que prévu,Comprendre l'étendue du travail est essentiel pour une planification précise,étendue du travail / ampleur du travail / portée du travail
